ID,Average_Rating,Reviews,Sentiment Ratio
B0000DIWNZ,3.7,10,0.4922
B0000DIWNI,4.2407,54,0.4727
B0000GH6UG,3.8205,39,0.5255
B0001E1IN8,4.7778,9,0.8
B00032E8XK,4.0876,468,0.4127
B00061EU6S,4.8889,18,0.5908
B0006L0UVM,4.375,8,0.9486
B00099XO3W,4.2361,305,0.459
B00099XO5U,4.3171,41,0.5546
B00099XPP4,4,1,0.7293
B00099XNXS,4.1791,296,0.3983
B00099XP4A,4.5,2,0.6992
B00099XNXS,4.5,30,0.4599
B00099XP4A,4.6,10,0.2808
B00099XNXS,4.2,20,0.266
B00099XP4A,4.6,10,0.6181
B00099XNXS,4.375,40,0.3905
B00099XPMC,3,10,0.4156
B00099XPD6,5,5,0.7196
B00099XPMC,4.2,10,0.3748
B00099XPMM,4,5,0.3597
B00099XPMC,4.6,10,0.6017
B00099XO50,4.5556,9,0.6904
B00099XPMM,4.45,20,0.5542
B00099XPD6,4.2,10,0.3956
B00099XO50,4.5,10,0.3499
B00099XPD6,4.4,10,0.3879
B00099XO50,3.8,20,0.2946
B00099XPD6,4.6,10,0.5174
B00099XO50,4.5,10,0.4984
B00099XPD6,4.4,10,0.3926
B00099XO50,4.8,10,0.5444
B00099XPD6,4.4,10,0.6287
B00099XO50,4.55,20,0.4423
B00099XPD6,4.1294,170,0.4221
B00099XPNQ,4.3529,17,0.4693
B00099XPD6,4.2722,169,0.4617
B00099XLXU,5,6,0.6793
B00099XPD6,4.4667,30,0.4989
B00099XLXU,4.2,10,0.4255
B00099XPD6,4.5,10,0.4091
B00099XLXU,3.8,10,0.1768
B00099XPD6,3.9,10,0.2872
B00099XLXU,4.1,10,0.1785
B00099XPD6,3.85,20,0.4555
B00099XLXU,4,20,0.3067
B00099XPD6,4.4,10,0.4792
B00099XLXU,3.9,10,0.2116
B00099XPD6,4.2,10,0.5354
B00099XLXU,4.2,10,0.4719
B00099XPD6,4.6,10,0.6581
B00099XLXU,5,10,0.503
B00099XPD6,3.8,10,0.5124
B00099XLXU,4.7,10,0.403
B00099XPD6,3.2,10,0.2206
B00099XLXU,4.2,10,0.5336
B00099XPD6,3.9,10,0.466
B00099XLXU,4.8,10,0.4899
B00099XPD6,4.3,10,0.2956
B00099XLXU,4.8,10,0.6611
B00099XPD6,4.1,10,0.3874
B00099XLXU,4.75,20,0.7485
B00099XPD6,4.6,10,0.6185
B00099XLXU,4.2,10,0.6309
B00099XPD6,4.1,10,0.4159
B00099XLXU,4.7,10,0.4991
B00099XPD6,4.4,20,0.3467
B00099XLXU,4.8,10,0.4312
B00099XPD6,4.8,10,0.4207
B00099XLXU,4.7,10,0.6501
B00099XPD6,4.3,10,0.4564
B00099XLXU,4.5,20,0.4908
B00099XPD6,3.7,10,0.3776
B00099XLXU,4.6,10,0.4437
B00099XPD6,4.4,10,0.4127
B00099XLXU,4.1,10,0.4991
B00099XPD6,4.4,10,0.3521
B00099XLXU,4.3,10,0.5686
B00099XPD6,3.9,10,0.3032
B00099XLXU,4.2,10,0.5652
B00099XPD6,4.2,10,0.3873
B00099XLXU,4.6,10,0.503
B00099XPD6,4,10,0.6207
B00099XLXU,4.3,10,0.2647
B00099XPD6,4.6,10,0.5657
B00099XLXU,5,10,0.6641
B00099XPD6,4.6,10,0.5413
B00099XLXU,4.7,10,0.5589
B00099XPD6,4.3025,919,0.5485
B0009EXQLM,4.5678,199,0.4403
B000GCHLWC,4.4298,228,0.4495
B000GGJDNI,4.1042,48,0.4101
B000HDCNAU,4.1907,493,0.4865
B000I617RG,4.45,20,0.6328
B000KEIPC6,4.3459,1113,0.5082
B000O6XSL8,4,11,0.3618
B000OUYNC2,4.6986,73,0.4792
B000OUYN5Y,4.4767,172,0.4581
B000OV4FY2,4.2178,381,0.38
B000P6L52Q,4.3229,192,0.4536
B000PKJB6Y,3.9259,135,0.3359
B000PKJB4G,4.3736,364,0.4302
B000PL0YI2,3.875,8,0.7127
B000PKJB4G,4.9,20,0.4471
B000PL0YI2,5,10,0.6632
B000PKJB4G,4.8,10,0.2376
B000PL0YI2,3.5,20,0.3912
B000PKJB4G,4.4,10,0.4593
B000PL0YI2,4,10,0.4136
B000PKJB4G,4,10,0.3284
B000PL0YI2,4.4,10,0.4986
B000PKJB4G,4.1,10,0.5162
B000PL0YI2,4.1,10,0.5122
B000PKJB4G,4.7,10,0.427
B000PL0YI2,4.15,20,0.5649
B000PKJB4G,4.25,20,0.3819
B000PL0YI2,4.2,10,0.5988
B000PKJB4G,4.7,10,0.4108
B000PL0YI2,4.2,10,0.7014
B000PKJB4G,4.4,10,0.52
B000PL0YI2,2.8,10,0.3972
B000PKJB4G,4.2,20,0.5479
B000PL0YI2,3.4,20,0.3872
B000PKJB4G,4.3,20,0.6453
B000PL0YI2,4.4,10,0.556
B000PKJB4G,4.5,10,0.3399
B000PL0YI2,4,10,0.4625
B000PKJB4G,3.7,10,0.3472
B000PL0YI2,3.7,20,0.4851
B000PKJB4G,4.7,10,0.4531
B000PL0YI2,4.1,10,0.4613
B000PKJB4G,4.8,10,0.7131
B000PL0YI2,4.9,10,0.6154
B000PKJB4G,4.9,10,0.6401
B000PL0YI2,3.4,20,0.2836
B000PKJB4G,4.1,10,0.126
B000PL0YI2,4.3,10,0.6387
B000PKJB4G,4.1,10,0.6669
B000PL0YI2,3.3,10,0.3024
B000PKJB4G,4.4,10,0.5664
B000PL0YI2,3.9935,308,0.5446
B000PL2VTW,4.4649,114,0.5009
B000PL0YG4,4.25,4,0.5147
B000PL2VTW,4.35,20,0.5234
B000PL0YG4,4.1,10,0.4418
B000PL2VTW,4.9,10,0.6293
B000PL0YG4,3.8,10,0.2123
B000PL2VTW,4.8,10,0.669
B000PL0YG4,4.7,10,0.5638
B000PL2VTW,4.8,10,0.4271
B000PL0YG4,4.45,20,0.3442
B000PL2VTW,4.3,10,0.5359
B000PL0YG4,4.8,10,0.6057
B000PL2VTW,4.5,10,0.2616
B000PL0YG4,4.9,10,0.811
B000PL2VTW,4.6,10,0.4677
B000PL0YG4,4.65,20,0.6536
B000PL2VTW,4.3,10,0.7518
B000PL0YG4,5,10,0.7589
B000PL2VTW,4.9,10,0.6658
B000PL0YG4,4.7778,9,0.8205
B000PL2VTW,4.8,40,0.687
B000PL69NG,4.5714,35,0.4555
B000PUIPXO,4.2947,95,0.4823
B000PUJ01K,4,34,0.3386
B000PUDOX0,5,7,0.8269
B000PUJ01K,4.48,50,0.5637
B000PUDOX0,4.4,10,0.4983
B000PUJ01K,4.75,20,0.7499
B000PUDOX0,4.4,10,0.5495
B000PUJ01K,4.8,10,0.349
B000PUDOX0,4.4,10,0.5212
B000PUJ01K,4.7,10,0.3986
B000PUDOX0,4.4,10,0.6166
B000PUJ01K,4.6,10,0.5071
B000PUDOX0,4.3,10,0.479
B000PUJ01K,4.641,39,0.5778
B000PWIR7Q,4.2727,22,0.3394
B000PYB5PA,4.8,10,0.6401
B000PYE2H8,4,2,0.687
B000Q3EAVG,4.383,47,0.5225
B000Q5K1O4,4.4,20,0.471
B000Q5G7KG,4.3571,14,0.6541
B000Q5NFJW,4.3333,6,0.6021
B000Q5G7KG,4.3793,29,0.4922
B000Q5NFJW,3.2,10,0.1762
B000Q5G7KG,4.8,10,0.4479
B000Q5NFJW,3.7,10,0.3072
B000Q5NG9G,4.25,8,0.5971
B000Q5NFJW,4.6,10,0.56
B000Q5G7KG,4.1111,9,0.3014
B000Q5NFJW,4,10,0.2587
B000Q5G7KG,4.4,10,0.4587
B000Q5NFJW,3.9,10,0.1811
B000Q5G7KG,4.8,10,0.3281
B000Q5NFJW,4.5,10,0.4854
B000Q5NG9G,4.4,10,0.6886
B000Q5NFJW,4.4,10,0.5554
B000Q5G7KG,4.2,10,0.5142
B000Q5NFJW,4.2,10,0.4228
B000Q5NG9G,4.9,10,0.6669
B000Q5G7KG,4.5,10,0.4272
B000Q5NFJW,4.3,10,0.419
B000Q5G7KG,4.4,10,0.3872
B000Q5NFJW,3.6,10,0.3542
B000Q5NG9G,4.4,10,0.4368
B000Q5NFJW,4.7,10,0.4869
B000Q5G7KG,4.5,10,0.3939
B000Q5NG9G,4.1,10,0.1748
B000Q5G7KG,4.7,10,0.5438
B000Q5NFJW,3.25,20,0.2633
B000Q5G7KG,4.1,10,0.3562
B000Q5NFMY,4.5,6,0.7747
B000Q5NG9G,4.3,10,0.4784
B000Q5NFJW,3.1,10,0.1553
B000Q5G7KG,4.6,20,0.6221
B000Q5NG9G,4.8,10,0.606
B000Q5G7KG,4.6,10,0.534
B000Q5NFMY,4.1,20,0.4116
B000Q5G7KG,3.9,10,0.4074
B000Q5NG9G,4.2222,9,0.4734
B000Q5G7KG,5,10,0.6004
B000Q5NFMY,4.3,10,0.1923
B000Q5NG9G,4.7,10,0.5476
B000Q5G7KG,4.7,10,0.5683
B000Q5NFMY,4.3,10,0.6196
B000Q5G7KG,4.5,10,0.5044
B000Q5NFMY,2.7,10,0.027
B000Q5NG9G,4.6,10,0.6339
B000Q5NFMY,4.2,10,0.485
B000Q5G7KG,4.8,10,0.443
B000Q5NFMY,4.8,10,0.6019
B000Q5G7KG,4.5,10,0.2642
B000Q5NG9G,3.9,10,0.3764
B000Q5G7KG,4.2,10,0.4515
B000Q5NFMY,4.5,10,0.6543
B000Q5NG9G,4.6,10,0.4607
B000Q5G7KG,4,10,0.4948
B000Q5NFMY,4.35,20,0.4533
B000Q5NG9G,4.7,10,0.4664
B000Q5NFMY,4.2,10,0.5338
B000Q5NG9G,4.5,10,0.4692
B000Q5NFMY,4.8,10,0.7766
B000Q5NG78,3.3333,9,0.5381
B000Q5NFMY,4.3,10,0.5357
B000Q5NG78,4,10,0.3687
B000Q5NFMY,4.05,20,0.6579
B000Q5NG78,4.8,10,0.3678
B000Q5NFMY,3.3,10,-0.0321
B000Q5NG78,3.6,10,0.174
B000Q5KV1C,4.1667,6,0.4684
B000Q5NFMY,4.4,10,0.5018
B000Q5NG78,4.1,30,0.464
B000Q5KV1C,4.1,10,0.1179
B000Q5NG78,4.2,10,0.4757
B000Q5KV1C,4.9,10,0.5097
B000Q5NG78,4.45,20,0.3258
B000Q5KV1C,4.9,10,0.3411
B000Q5NG78,3.7,10,0.2486
B000Q5KV1C,3.9,10,0.5619
B000Q5NG78,3.9,10,-0.0442
B000Q5K1RG,4.75,4,0.7432
B000Q5NG78,3.5,10,0.4681
B000Q5KV1C,4.7,10,0.3524
B000Q5NG78,4.6,20,0.4928
B000Q5KV1C,4.6,10,0.4712
B000Q5NG78,3.9,10,0.3359
B000Q5K1RG,4.7778,9,0.4626
B000Q5KV1C,4.3,10,0.5543
B000Q5NG78,4.45,20,0.496
B000Q5KV1C,4.7,10,0.5836
B000Q5K1RG,4.2,10,0.4413
B000Q5NG78,3.1111,9,0.2396
B000Q5KV1C,4.9,10,0.3373
B000Q5NG78,4.2,10,0.5041
B000Q5K1RG,3.9,10,0.3774
B000Q5KV1C,4.8,10,0.4951
B000Q5NG78,3.9,10,0.3749
B000Q5KV1C,3.2,10,0.3486
B000Q5NG78,4.3,10,0.4815
B000Q5K1RG,3.2,10,0.0887
B000Q5NG78,4.4,10,0.438
B000Q5KV1C,3.6,10,0.247
B000Q5K1RG,3.8,10,0.402
B000Q5NG78,4,20,0.3278
B000Q5K1RG,4.3,10,0.3291
B000Q5NG78,4.7,10,0.5514
B000Q5K1RG,4.3,10,0.2832
B000Q5NG78,4.65,20,0.4802
B000Q5K1RG,4.6,10,0.5087
B000Q5NG78,4.3,10,0.658
B000Q5K1RG,5,10,0.6282
B000Q5NG78,4.7,20,0.58
B000Q5K1RG,4.9,10,0.6244
B000Q5NG78,4.2,20,0.4659
B000Q5K1RG,4,10,0.3388
B000Q5NG78,4.4,10,0.4298
B000Q5K1RG,4.5,10,0.4483
B000Q5NG78,4.2,20,0.5207
B000Q5K1RG,4.3,10,0.2341
B000Q5NG78,4.45,20,0.2959
B000Q5K1RG,3.9,10,0.3525
B000Q5NG78,4.6,20,0.633
B000Q5K1RG,5,10,0.5036
B000Q5NG78,2.8,10,0.3016
B000Q5K1RG,4.1,10,0.316
B000Q5NG78,4.5,20,0.474
B000Q5K1RG,4.4,20,0.3762
B000Q5NG78,4.2105,19,0.336
B000Q5K1RG,4.6,10,0.401
B000Q5NG78,4.5,10,0.3977
B000Q5K1RG,4.9,10,0.7728
B000Q5NG78,4.1,10,0.5092
B000Q5K1RG,4.9,10,0.7189
B000Q5NG78,4.2,20,0.4026
B000Q5K1RG,4.7,10,0.5361
B000Q5NG78,4.1,10,0.4978
B000Q5K1RG,4.6,10,0.2974
B000Q5NG78,4.4,20,0.4542
B000Q5K1RG,4.7,10,0.5516
B000Q5NG78,4.15,20,0.5402
B000Q5K1RG,4.8,10,0.328
B000Q5NG78,3.7,10,0.3202
B000Q5K1RG,4.2,10,0.5555
B000Q5NG78,3.8,10,0.3968
B000Q5K1RG,4.5,10,0.3798
B000Q5NG78,3.7,20,0.3233
B000Q5K1RG,4,10,0.3212
B000Q5NG78,4.3,10,0.5866
B000Q5K1RG,4.8,10,0.3986
B000Q5NG78,4.1,20,0.4915
B000Q5K1RG,5,10,0.6046
B000Q5NG78,3.9,10,0.6293
B000Q5K1RG,3.3,10,0.191
B000Q5NG78,3.6,10,0.5282
B000Q5K1RG,3.6,10,0.3334
B000Q5NG78,3.85,20,0.6196
B000Q5K1RG,4.5667,30,0.7073
B000Q5K1WG,4.5,10,0.6412
B000Q5PDNI,4.5077,65,0.4628
B000Q5LWE2,4.3047,233,0.3958
B000Q68WSA,4.6069,407,0.4098
B000Q6B1XI,4.6667,9,0.4823
B000Q68W4E,3.9167,12,0.3842
B000QCJ7UQ,4.6,70,0.5162
B000QCPNZY,4.6573,356,0.5753
B000QJ8SY0,4.4783,161,0.4707
B000QJ8SM2,5,2,0.7722
B000QJ8SY0,4.35,40,0.4295
B000QJ8SM2,3.7,10,0.239
B000QJ8SY0,3.8,10,0.5294
B000QJ8SM2,2.8,20,-0.0387
B000QJCLG6,5,4,0.6872
B000QJ8SM2,3.05,20,0.2352
B000QJCLG6,4.1,20,0.3301
B000QJ8SM2,3.8486,370,0.366
B000QJUDYS,4.0606,99,0.4817
B000QSFWBI,5,1,0
B000QSL582,5,5,0.7353
B000QSHJZU,4.68,25,0.7223
B000QSTJYO,4.3472,144,0.5169
B000QSTKFC,4.6754,764,0.519
B000QU1VXE,5,1,0.986
B000QV32C6,4.9091,11,0.7252
B000QV32CQ,4.72,25,0.5921
B000QV5M6A,4.7586,58,0.7075
B000QV54Y0,4.6721,61,0.689
B000QV54YK,4.7195,82,0.5352
B000QWSG62,4.2157,51,0.6143
B000QY7PQ2,4.0068,147,0.396
B000QYI1R4,4.75,12,0.5023
B000QY9SQC,4.8182,11,0.5702
B000R2Z5VU,4.4911,112,0.5683
B000R2Z8P8,4.6,5,0.629
B000R30PP0,4.875,8,0.7967
B000R2Z9BQ,3.3636,22,0.4159
B000R30YM4,4.8571,14,0.664
B000R36J0A,3.3488,86,0.4906
B000R36GMQ,4.2308,13,0.591
B000R4EL4K,4.8889,9,0.6321
B000R4CHFA,4.4878,41,0.4141
B000R4CGYM,3.1667,6,-0.1006
B000R4CGSI,5,3,0.6185
B000R4FGFI,4.3333,9,0.4257
B000R4FGS0,4.3939,33,0.4283
B000R4H3D6,4.3308,133,0.4621
B000R4M8GI,4.3307,127,0.4607
B000R4NP24,4.3551,138,0.5163
B000R6QADI,4.6047,43,0.7737
B000R738KU,4.2264,53,0.4582
B000R77DYW,1,1,-0.9442
B000R738KU,3.7,10,0.2967
B000R77DYW,4,10,0.2765
B000R738KU,4.6,10,0.6624
B000R77DYW,4.65,20,0.4196
B000R738KU,4.5,10,0.5191
B000R77DYW,4.2,20,0.5439
B000R738KU,4.6,10,0.3437
